,city,Area,education,remote,experience,fulltime,label,Target,labelTree
0,3,1,1,2,1,1,5,3,6
1,3,1,1,1,1,2,2,2,3
2,2,3,2,2,2,2,3,5,4
3,1,1,2,2,2,1,2,1,3
4,2,2,2,2,2,2,3,3,4
5,3,1,1,2,1,1,5,1,6
6,2,3,2,2,2,2,3,2,4
7,3,1,1,2,1,1,5,3,6
8,2,3,2,2,2,2,3,2,4
9,1,3,2,1,2,1,1,1,2
10,3,1,1,2,1,1,5,5,6
11,3,3,1,2,1,1,5,2,6
12,2,2,2,2,2,2,3,3,4
13,3,1,1,1,1,2,2,2,3
14,3,3,1,2,1,1,5,4,6
15,3,1,1,2,1,1,5,3,6
16,2,2,2,2,2,2,3,3,4
17,1,3,2,1,2,1,1,1,2
18,2,2,2,2,2,2,3,3,4
19,2,2,2,2,2,2,3,2,4
20,1,3,2,1,2,1,1,1,2
21,2,3,2,2,2,2,3,3,4
22,1,3,2,1,2,1,1,1,2
23,2,2,2,2,2,2,3,2,4
24,3,1,1,2,1,1,5,1,6
25,2,2,2,2,2,2,3,3,4
26,3,3,1,2,1,1,5,3,6
27,2,3,2,2,2,2,3,3,4
28,2,3,2,2,2,2,3,5,4
29,1,3,2,1,2,1,1,1,2
30,3,3,1,2,1,1,5,1,6
31,2,2,2,2,2,2,3,3,4
32,2,2,1,2,1,1,5,3,6
33,2,2,2,2,2,2,3,3,4
34,2,2,1,2,1,1,5,3,6
35,2,2,1,2,1,1,5,3,6
36,2,2,2,2,2,2,3,5,4
37,3,1,1,2,1,1,5,5,6
38,2,2,2,2,2,2,3,2,4
39,3,1,1,1,1,2,2,2,3
40,2,2,1,2,1,1,5,2,6
41,1,3,2,1,2,1,1,2,2
42,1,3,2,1,2,1,1,1,2
43,2,2,2,2,2,2,3,3,4
44,2,2,2,2,2,2,3,3,4
45,3,3,1,2,1,1,5,3,6
46,3,3,1,2,1,1,5,2,6
47,2,2,1,2,1,1,5,2,6
48,2,3,2,2,2,2,3,2,4
49,2,2,1,2,1,1,5,5,6
50,3,3,1,2,1,1,5,5,6
51,2,2,1,2,1,1,5,3,6
52,2,2,2,2,2,2,3,3,4
53,2,2,1,2,1,1,5,3,6
54,3,1,1,2,1,1,5,3,6
55,2,2,2,2,2,2,3,3,4
56,3,1,1,2,1,1,5,5,6
57,3,3,1,2,1,1,5,4,6
58,2,2,2,2,2,2,3,3,4
59,2,3,2,2,2,2,3,2,4
60,2,2,1,2,1,1,5,5,6
61,1,3,2,1,2,1,1,1,2
62,3,1,1,2,1,1,5,5,6
63,3,1,1,2,1,1,5,5,6
64,3,3,1,2,1,1,5,3,6
65,2,3,2,2,2,2,3,5,4
66,2,2,1,2,1,1,5,5,6
67,2,2,1,2,1,1,5,3,6
68,3,3,1,2,1,1,5,2,6
69,2,2,2,2,2,2,3,3,4
70,2,2,1,2,1,1,5,3,6
71,3,3,1,2,1,1,5,2,6
72,2,3,2,2,2,2,3,1,4
73,2,2,1,2,1,1,5,3,6
74,3,3,1,2,1,1,5,1,6
75,2,2,1,2,1,1,5,4,6
76,1,3,2,1,2,1,1,1,2
77,3,1,1,2,1,1,5,1,6
78,3,1,1,1,1,2,2,2,3
79,2,2,1,2,1,1,5,3,6
80,2,2,2,2,2,2,3,3,4
81,1,3,2,1,2,1,1,1,2
82,3,3,1,2,1,1,5,2,6
83,2,2,1,2,1,1,5,3,6
84,2,2,2,2,2,2,3,3,4
85,3,3,1,2,1,1,5,4,6
86,2,2,2,2,2,2,3,2,4
87,1,3,2,1,2,1,1,2,2
88,1,1,2,2,2,1,2,2,3
89,2,2,1,2,1,1,5,5,6
90,3,1,1,2,1,1,5,5,6
91,3,3,1,2,1,1,5,3,6
92,2,3,2,2,2,2,3,3,4
93,3,3,1,2,1,1,5,3,6
